id;start_date;end_date;language
1;2020-04-08T02:32:00;2020-04-08T00:22:15;SPANISH
2;2020-04-07T07:22:11;2020-04-08T02:26:36;SPANISH
3;2020-04-07T22:17:30;2020-04-07T08:51:39;FRENCH
4;2020-04-07T13:35:01;2020-04-08T01:06:27;FRENCH
5;2020-04-07T23:05:19;2020-04-08T03:52:18;FRENCH
6;2020-04-07T16:57:40;2020-04-08T05:05:54;FRENCH
7;2020-04-07T18:43:00;2020-04-07T12:33:51;FRENCH
8;2020-04-07T17:39:13;2020-04-08T03:55:21;SPANISH
9;2020-04-07T16:20:22;2020-04-07T13:01:45;SPANISH
10;2020-04-08T00:32:26;2020-04-07T11:06:56;SPANISH
